query_id,answer
1,4396 4308 4219 2943 4234 1951 4384 4214 1909 2511
2,4400 4234 2646 1966 4219 4308 1958 4387 4361 1909
3,1909 4234 4396 4308 4400 4219 4328 4286 2646 1907
4,4400 4234 2646 4219 2865 1966 2943 4532 4214 4403
5,1951 4214 3128 3467 4308 2698 4234 4219 4286 4328
6,4309 4361 3750 2928 2214 4433 4520 3016 4387 4208
7,4219 2865 4400 1966 4361 2646 4387 4234 4384 4403
8,1951 4214 4234 2698 3128 4308 4328 4286 4396 4532
9,4451 4214 2698 3478 2665 4219 4209 4395 3995 2511
10,4219 4400 2646 1966 4384 2865 4403 4308 4387 2831
11,4219 2865 4400 2646 1966 4384 4403 4234 2943 2831
12,4219 4400 2865 4384 2646 1966 4387 4440 2964 4361
13,4219 4440 2646 2865 4384 4389 1966 4400 4387 2943
14,4451 4219 4440 3786 4287 2646 4214 2202 2511 4008
15,4219 1966 4361 4234 2646 2943 2865 4384 4400 2037
16,4440 4219 4389 2646 4387 4361 1958 2943 4384 4285
17,1951 4234 4219 4308 4532 2646 4214 2698 4361 2865
18,4219 2646 4234 4400 4308 1909 4361 4403 4214 4387
19,1951 4214 4320 4308 4219 4234 3467 2646 3861 4328
20,4219 4400 2646 1966 2865 4403 2831 4308 4384 4387
21,4214 4219 2698 2646 4451 2665 1951 4308 4361 2943
22,4234 3862 4451 4433 3889 4445 4440 4262 4264 2222
23,4286 4328 4234 4396 1951 1909 1907 4308 4214 3436
24,4440 4219 4389 2646 4384 4361 4387 1958 3565 2865
25,4214 2698 4451 1951 2665 3843 4234 4396 4286 2944
26,4219 4440 4389 2646 2865 4361 4234 1966 4364 1951
27,4219 2646 1966 4384 4440 4387 2865 4389 4400 4395
28,4387 1909 4400 4219 2865 4234 4308 2646 4403 2408
29,4219 2646 2865 1966 4400 4384 4361 2831 4234 4308
30,1951 2646 4308 4219 4214 4234 4320 3467 4286 3565
31,4234 4400 1909 4219 4308 4361 1951 1918 2698 4328
32,4219 4440 2646 4389 4384 4234 4206 3565 4395 2865
33,4219 2646 4440 4384 4400 1966 2865 4389 2943 1958
34,4219 2646 2865 4384 1966 4400 4361 4234 4389 2831
35,4328 4396 4286 4234 4308 1951 1907 1909 4361 4133
36,4219 4387 2646 2865 4384 1958 1966 4400 4285 4234
37,4219 4400 4387 1966 4403 2646 2865 4361 4384 4396
38,4219 4440 2646 4400 1966 4384 2865 4387 4389 4009
39,1951 4234 3467 4218 4328 4214 4361 4308 1909 2698
40,4219 2646 4234 4308 4361 4400 4384 1966 4214 4389
41,4234 4214 4219 4361 2646 4384 4308 4387 4006 4237
42,2646 4219 4387 4400 1958 4384 4234 4308 2865 1966
43,4234 4308 4219 4328 1909 4361 4396 2646 1951 4403
44,4219 2865 1966 2646 4400 4384 4361 4218 4406 4234
45,4219 2865 2646 1966 4384 4387 4218 1958 4400 4361
46,2665 4214 2698 4361 1951 4331 4219 4234 4328 4308
47,4234 4219 2646 4361 1909 4308 1951 1966 4214 4328
48,4219 4384 2646 4387 1966 4440 4400 2865 4395 4389
49,4308 4219 4234 4396 1960 2646 1907 1909 4328 1899
50,1951 4234 4328 3467 4218 4286 4308 4214 4320 1909
51,4395 4219 4214 2646 4424 4009 4389 4361 4387 4440
52,4395 4219 4214 4424 2646 4234 2665 4308 4384 4198
53,4219 4361 4234 4387 2646 4308 4403 2511 4440 1958
54,4395 4424 3478 4234 4214 1951 2698 2646 4209 2295
55,1951 4308 3467 4214 3128 4320 3843 4387 4286 4219
56,4403 4308 1909 4234 4400 4387 4219 4396 2646 3169
57,3028 4423 2831 3256 2908 4400 2905 4372 3056 3147
58,4219 4384 2646 4440 4389 4361 1966 4234 2865 4308
59,4219 2865 2646 1966 4387 4384 1958 4400 4218 4361
60,4219 2646 4400 1966 4384 4403 2865 2831 4361 2943
61,4219 4440 2646 4389 4384 3565 4308 2943 4361 4234
62,4219 2865 4400 2646 1966 4384 4234 2831 4387 2964
63,4400 4219 4387 4234 2646 1958 2831 4403 2865 4384
64,1909 1907 4234 4328 4286 4396 2831 4387 2462 4219
65,4440 3128 4307 4372 3254 2695 2222 4389 2948 2942
66,4276 4440 2894 3481 2886 4389 3993 4224 4269 4287
67,4384 4219 4440 2646 4361 1966 2943 4234 4274 4389
68,4440 2663 2661 3595 4008 3932 2204 2886 4389 2222
69,4219 2646 4400 1966 4361 4234 4403 2865 4384 2943
70,4328 4396 4234 1909 4286 1907 4362 4320 1951 2646
71,4219 2646 4234 4308 1951 4214 4384 4361 2698 2943
72,2698 4234 4214 4308 1951 3467 4361 4286 4219 1909
73,4440 4389 3254 2894 2886 4395 4219 3993 4338 2968
74,4219 2865 1966 2646 4400 4384 4361 2831 4234 4387
75,2646 4219 4234 4308 4361 4384 1966 1909 4440 2943
76,1951 4234 4308 1901 4214 4328 4396 4362 2698 1907
77,4308 4219 4396 4234 4328 4214 1909 3088 3993 1951
78,1909 4234 4328 4396 4308 1951 4433 2886 4320 3747
79,4219 2865 1966 2646 4400 4218 4384 4361 1958 4387
80,1951 3861 4214 3995 4320 4219 4395 4234 4308 4355
81,4219 2865 4400 1966 4361 2646 4384 2831 4234 4332
82,4308 4400 4234 4219 2646 4396 4387 4403 1909 1951
83,4234 4361 4308 1951 4219 2646 1909 4400 1907 4396
84,4400 4234 2646 1966 4219 4451 2865 4403 3006 4387
85,2646 4219 4400 2962 4234 4361 4396 4395 4214 2831
86,1951 3467 4219 4234 4361 4214 4308 4286 4320 1958
87,4234 4361 2646 4219 1909 4308 1951 1966 4384 2943
88,1951 4234 3467 4214 4286 4328 4320 2698 2646 4361
89,1951 3467 4234 4286 4328 4308 4320 4214 4396 4219
90,4219 2865 1966 2646 4400 4384 4218 4361 4234 2696
