query_id,answer
1,4396 4308 4219 2943 4234 1951 4384 4214 1909 2511
2,4400 4234 2646 1966 4219 4308 1958 4387 4361 1909
3,1909 4234 4396 4328 4400 4308 1907 4286 4219 2646
4,4400 4234 2646 4219 2865 1966 2943 4532 4214 4403
5,1951 4214 4219 3467 3128 4234 4328 4308 4286 2698
6,4309 4361 3750 2928 2214 4433 4520 3016 4387 4208
7,4219 2865 4400 4361 1966 4384 2646 4234 4387 4403
8,1951 4214 4234 2698 3128 4308 4328 4286 4396 4532
9,4451 4214 2698 4219 3478 2665 4395 4209 3995 2511
10,4219 4400 2646 1966 4384 2865 4403 4308 4387 2831
11,4219 4400 2865 4384 2646 4234 1966 4403 2831 2943
12,4219 4400 4384 2865 1966 2646 4387 4440 4361 2964
13,4219 4440 2646 4384 2865 1966 4387 4389 4400 2943
14,4451 4219 4440 3786 4287 2646 4214 2202 2511 4008
15,4219 4361 1966 2865 2646 4234 2943 4384 4400 2037
16,4440 4219 2646 4389 4387 4384 1958 4361 2943 4285
17,1951 4234 4214 4219 2698 4308 2865 4532 2646 4361
18,4219 4234 2646 4361 4308 4400 4387 1909 4214 4403
19,1951 4214 4320 4308 4219 4234 3467 2646 3861 4328
20,4219 4400 2646 4384 2865 1966 2831 4387 4308 4403
21,4214 4219 2698 2646 4451 2665 1951 4308 4361 2943
22,4234 4451 3862 4440 4433 2222 3889 4445 4262 4264
23,4286 4328 4234 1951 4396 4214 1907 1909 4308 3436
24,4440 4219 2646 4389 4384 4387 2865 1958 4361 3565
25,4214 2698 4451 1951 2665 3843 4234 4396 4286 2944
26,4219 4440 4389 2646 2865 4361 4234 1966 4364 1951
27,4219 4384 2646 1966 4387 4440 2865 4389 4395 4400
28,1909 4387 4400 4219 2865 2646 4234 4308 4403 2408
29,4219 2646 1966 2865 4400 4384 4361 4234 2831 4308
30,1951 4219 2646 4308 4234 4286 4214 3467 3565 4320
31,4400 4234 4219 1909 4361 4308 1951 4328 2698 1918
32,4219 2646 4440 4234 4384 4389 2865 4395 4206 3565
33,4219 2646 4440 4384 4400 1966 2865 4389 2943 1958
34,4219 2646 4384 2865 1966 4400 4361 4234 4389 2831
35,4328 4234 4286 4396 1951 4308 4361 1909 1907 4133
36,4219 4387 2646 4384 1958 1966 4400 4285 2865 4234
37,4219 4400 4387 1966 4403 2646 2865 4361 4384 4396
38,4219 4440 2646 4400 1966 4384 2865 4387 4389 4009
39,1951 4234 3467 4214 4328 4308 1909 2698 4218 4361
40,4219 2646 4234 4361 4400 4308 1966 4214 4384 4389
41,4234 4214 4219 4361 2646 4384 4308 4387 4006 4237
42,2646 4387 4219 4400 4384 1958 4234 4308 2865 1966
43,4234 4308 1951 4328 4219 1909 2646 4361 4403 4396
44,4219 2865 2646 1966 4400 4384 4361 4218 4406 4234
45,4219 2865 1966 2646 4384 4387 4361 4218 4400 1958
46,2665 4214 2698 1951 4234 4361 4328 4308 4219 4331
47,4234 4219 2646 4361 1909 4308 1951 1966 4214 4328
48,4219 4384 4387 2646 1966 4440 2865 4395 4400 4389
49,4219 4308 2646 4328 4396 1907 1899 4234 1960 1909
50,1951 4234 4328 3467 4286 4214 4308 4320 4218 1909
51,4395 4219 4214 2646 4424 4009 4440 4387 4389 4361
52,4395 4214 4219 4234 2646 4424 4308 2665 4384 4198
53,4219 4361 4234 4387 2646 4308 4403 2511 4440 1958
54,4395 4234 4424 2646 3478 4214 1951 2698 4209 2295
55,1951 4308 4214 3467 4219 4320 3128 4286 3843 4387
56,4403 4308 1909 4234 4400 4387 4219 4396 2646 3169
57,3028 4423 2831 4400 3147 3256 2908 2905 4372 3056
58,4219 4384 2646 4440 4389 1966 2865 4361 4234 4308
59,4219 2865 2646 1966 4384 4218 4387 4361 4400 1958
60,4219 2646 4400 4384 1966 2865 4403 2831 4361 2943
61,4219 2646 4440 4389 4384 3565 4308 4361 4234 2943
62,4219 4400 2865 4384 2646 1966 4234 4387 2831 2964
63,4400 4219 4387 4234 2646 1958 4384 4403 2831 2865
64,1909 4234 1907 4286 4328 4396 4219 4387 2831 2462
65,4440 4307 3128 3254 2222 4389 4372 2695 2948 2942
66,4440 4276 2894 2886 3993 3481 4389 4224 4269 4287
67,4384 4219 4361 2646 4440 4234 1966 2943 4389 4274
68,4440 2663 2661 3595 4008 3932 2204 2886 4389 2222
69,4219 2646 4400 1966 4361 4234 4403 2865 4384 2943
70,4234 4328 4396 1909 1907 4286 1951 2646 4362 4320
71,4219 2646 4234 4308 1951 4214 4384 4361 2698 2943
72,2698 4234 4214 1951 4308 1909 4361 4286 3467 4219
73,4440 4389 3254 4219 2894 2886 4395 3993 4338 2968
74,4219 1966 2865 2646 4400 4384 4361 2831 4234 4387
75,4219 2646 4384 4234 4308 4361 1909 4440 1966 2943
76,1951 4234 4328 4214 4396 2698 1907 4308 1901 4362
77,4328 4308 4219 1951 4396 4234 3993 4214 1909 3088
78,1909 4328 4234 4396 4308 2886 4433 1951 4320 3747
79,4219 2865 4384 1966 2646 4400 4387 4361 4218 1958
80,1951 4214 3861 4395 4320 4219 3995 4308 4234 4355
81,4219 2865 4400 1966 4361 2646 4384 2831 4234 4332
82,4308 4219 4400 4234 2646 4387 4396 4403 1951 1909
83,4234 4361 4308 1951 4219 2646 1909 4400 1907 4396
84,4400 4234 2646 4219 1966 2865 4451 4387 4403 3006
85,2646 4219 4400 4234 4396 4361 4395 4214 2831 2962
86,1951 3467 4234 4214 4219 4361 1958 4286 4308 4320
87,4234 4361 2646 4219 1909 1951 4308 1966 4384 2943
88,1951 4234 3467 4286 2698 4214 2646 4320 4328 4361
89,1951 4234 3467 4328 4286 4396 4214 4219 4308 4320
90,4219 2865 1966 2646 4400 4384 4218 4361 4234 2696
